date,avg_temp,max_temp,min_temp,demand,weekday,is_holiday,weather_rain,weather_snow,weather_sunny
2025/1/1,-12,-9.2,-15.7,483,2,1,FALSE,TRUE,FALSE
2025/1/2,-7.8,-2.5,-15.2,476,3,0,FALSE,TRUE,FALSE
2025/1/3,-7.8,-4.4,-10.3,493,4,0,FALSE,TRUE,FALSE
2025/1/4,-7.2,-4,-9.9,491,5,0,FALSE,TRUE,FALSE
2025/1/5,-6.7,-3.5,-12.5,482,6,0,FALSE,TRUE,FALSE
2025/1/6,-4.7,-0.9,-11.8,550,0,0,FALSE,TRUE,FALSE
2025/1/7,-2.9,-1,-5.2,514,1,0,FALSE,TRUE,FALSE
2025/1/8,-3.9,-1.7,-5.2,552,2,0,FALSE,TRUE,FALSE
2025/1/9,-4.1,-2.7,-5.5,554,3,0,FALSE,TRUE,FALSE
2025/1/10,-2.8,0.9,-5.5,524,4,0,FALSE,TRUE,FALSE
2025/1/11,-5.3,-1.4,-11.5,496,5,0,FALSE,TRUE,FALSE
2025/1/12,-5,-1.7,-8.6,472,6,0,FALSE,TRUE,FALSE
2025/1/13,-6.6,-3.7,-10.3,477,0,1,FALSE,TRUE,FALSE
2025/1/14,-3.9,2.2,-9.1,541,1,0,FALSE,TRUE,FALSE
2025/1/15,-6.2,-3.6,-9.3,539,2,0,FALSE,TRUE,FALSE
2025/1/16,-7.8,-3.8,-12.3,521,3,0,FALSE,TRUE,FALSE
2025/1/17,-8.6,-4.2,-13.3,617,4,0,FALSE,TRUE,FALSE
2025/1/18,-9.3,-4,-13.6,511,5,0,FALSE,TRUE,FALSE
2025/1/19,-7.6,-2.9,-13.8,485,6,0,FALSE,TRUE,FALSE
2025/1/20,0.5,4.1,-2.9,533,0,0,FALSE,TRUE,FALSE
2025/1/21,-4.5,0.2,-10.7,509,1,0,FALSE,FALSE,TRUE
2025/1/22,-7.7,-0.7,-12.6,527,2,0,FALSE,FALSE,TRUE
2025/1/23,-5.8,-1,-11.5,528,3,0,FALSE,TRUE,FALSE
2025/1/24,-3,1.5,-7.2,535,4,0,FALSE,TRUE,FALSE
2025/1/25,0.8,4.3,-2.5,469,5,0,FALSE,FALSE,TRUE
2025/1/26,-1.6,1.7,-7.4,464,6,0,FALSE,FALSE,TRUE
2025/1/27,-4.4,2.5,-11.6,496,0,0,FALSE,FALSE,TRUE
2025/1/28,-3.6,1.5,-9.5,511,1,0,FALSE,FALSE,TRUE
2025/1/29,-1.7,1.4,-4.4,508,2,0,FALSE,TRUE,FALSE
2025/1/30,-1,1,-2,535,3,0,FALSE,TRUE,FALSE
2025/1/31,-2.5,-0.2,-5,559,4,0,FALSE,TRUE,FALSE
2025/2/1,-5.2,0.2,-11.2,487,5,0,FALSE,FALSE,TRUE
2025/2/2,-7.3,-1.2,-12.2,480,6,0,FALSE,TRUE,FALSE
2025/2/3,-6.1,-1.7,-10.3,532,0,0,FALSE,FALSE,TRUE
2025/2/4,-1.2,3.9,-5.1,524,1,0,FALSE,TRUE,FALSE
2025/2/5,-3,-0.3,-7.4,536,2,0,FALSE,TRUE,FALSE
2025/2/6,-2,0.9,-3.8,547,3,0,FALSE,TRUE,FALSE
2025/2/7,-3.5,0.1,-8.2,522,4,0,FALSE,TRUE,FALSE
2025/2/8,-5.3,0,-9.7,479,5,0,FALSE,TRUE,FALSE
2025/2/9,-5.1,-0.8,-9.9,473,6,0,FALSE,TRUE,FALSE
2025/2/10,-4.1,-0.9,-7,520,0,0,FALSE,TRUE,FALSE
2025/2/11,-3.3,0.2,-6.1,479,1,1,FALSE,TRUE,FALSE
2025/2/12,-0.8,1.8,-4.6,507,2,0,FALSE,TRUE,FALSE
2025/2/13,-3,0.1,-5.6,516,3,0,FALSE,TRUE,FALSE
2025/2/14,-4.1,-2.5,-5.1,516,4,0,FALSE,TRUE,FALSE
2025/2/15,-4.5,-1.2,-10.8,482,5,0,FALSE,TRUE,FALSE
2025/2/16,-7.4,-2.6,-13.6,479,6,0,FALSE,TRUE,FALSE
2025/2/17,-3.2,-0.1,-6.1,519,0,0,FALSE,TRUE,FALSE
2025/2/18,-5.4,-1.3,-10.4,523,1,0,FALSE,TRUE,FALSE
2025/2/19,-3.9,-0.7,-6.4,550,2,0,FALSE,TRUE,FALSE
2025/2/20,-6,-0.6,-11.7,496,3,0,FALSE,TRUE,FALSE
2025/2/21,-5.9,-0.2,-10.7,537,4,0,FALSE,TRUE,FALSE
2025/2/22,-6.9,-1.2,-11.6,488,5,0,FALSE,TRUE,FALSE
2025/2/23,-5.7,-0.3,-10.9,473,6,1,FALSE,TRUE,FALSE
2025/2/24,-3.2,0.2,-7.7,467,0,1,FALSE,TRUE,FALSE
2025/2/25,1.3,4.5,-2,493,1,0,FALSE,TRUE,FALSE
2025/2/26,-0.5,3.8,-3.5,479,2,0,FALSE,TRUE,FALSE
2025/2/27,-2.7,0.3,-4.8,499,3,0,FALSE,TRUE,FALSE
2025/2/28,1,8.5,-9.2,460,4,0,FALSE,FALSE,TRUE
2025/3/1,3.3,7.7,-3.1,424,5,0,FALSE,FALSE,TRUE
2025/3/2,-2.9,1.3,-7,449,6,0,FALSE,TRUE,FALSE
2025/3/3,-7.2,-4.3,-10.5,508,0,0,FALSE,TRUE,FALSE
2025/3/4,-6.8,-1.7,-12,502,1,0,FALSE,TRUE,FALSE
2025/3/5,-6.1,-0.9,-12.5,528,2,0,FALSE,TRUE,FALSE
2025/3/6,-2,1.3,-4.6,522,3,0,FALSE,TRUE,FALSE
2025/3/7,-2.5,1.9,-5.4,535,4,0,FALSE,TRUE,FALSE
2025/3/8,-4.6,1.8,-11,470,5,0,FALSE,TRUE,FALSE
2025/3/9,-2.4,2.3,-8,432,6,0,FALSE,TRUE,FALSE
2025/3/10,-2.8,4.4,-9.6,469,0,0,FALSE,FALSE,TRUE
2025/3/11,1,9.1,-8.2,450,1,0,FALSE,FALSE,TRUE
2025/3/12,3.2,10.1,-3.5,435,2,0,FALSE,FALSE,TRUE
2025/3/13,3.3,10.1,-0.9,487,3,0,FALSE,TRUE,FALSE
2025/3/14,0.6,3,-1.8,536,4,0,FALSE,TRUE,FALSE
2025/3/15,-0.5,2.8,-2.2,465,5,0,FALSE,TRUE,FALSE
2025/3/16,-0.9,2.1,-3.6,457,6,0,FALSE,TRUE,FALSE
2025/3/17,-1.9,-0.1,-4.2,514,0,0,FALSE,TRUE,FALSE
2025/3/18,-2.3,1.8,-5.2,539,1,0,FALSE,TRUE,FALSE
2025/3/19,-2,4.7,-8.5,570,2,0,FALSE,FALSE,TRUE
2025/3/20,-0.5,3.5,-5.4,455,3,1,FALSE,TRUE,FALSE
2025/3/21,3.8,6.3,0.8,502,4,0,TRUE,FALSE,FALSE
2025/3/22,4.3,8.5,0.5,448,5,0,TRUE,FALSE,FALSE
2025/3/23,1.2,4.1,-1.2,433,6,0,FALSE,TRUE,FALSE
2025/3/24,3.3,10.2,-4,447,0,0,FALSE,FALSE,TRUE
2025/3/25,4.8,8.8,1.8,486,1,0,TRUE,FALSE,FALSE
2025/3/26,1.2,3.3,-2.2,536,2,0,FALSE,TRUE,FALSE
2025/3/27,0.8,3.5,-2.9,447,3,0,FALSE,TRUE,FALSE
2025/3/28,1.3,3.6,0,477,4,0,FALSE,TRUE,FALSE
2025/3/29,1,4.5,-2.3,393,5,0,FALSE,TRUE,FALSE
2025/3/30,-1.8,5.6,-6.8,407,6,0,FALSE,TRUE,FALSE
2025/3/31,-1.6,1.2,-4.8,475,0,0,FALSE,TRUE,FALSE
2025/4/1,2.6,8.3,-3,465,1,0,FALSE,FALSE,TRUE
2025/4/2,2.4,7,-3.6,448,2,0,TRUE,FALSE,FALSE
2025/4/3,1.6,4.3,-0.7,453,3,0,TRUE,FALSE,FALSE
2025/4/4,1.4,4.5,-0.9,439,4,0,FALSE,FALSE,TRUE
2025/4/5,4.5,8.7,-0.8,404,5,0,FALSE,FALSE,FALSE
2025/4/6,6.6,13.8,-1.1,396,6,0,FALSE,FALSE,TRUE
2025/4/7,8,14.5,3.1,448,0,0,TRUE,FALSE,FALSE
2025/4/8,5.5,7.5,4,451,1,0,TRUE,FALSE,FALSE
2025/4/9,6,9.8,1.8,468,2,0,TRUE,FALSE,FALSE
2025/4/10,7.8,15.3,-0.9,452,3,0,FALSE,FALSE,TRUE
2025/4/11,9.6,19,0.7,421,4,0,FALSE,FALSE,TRUE
2025/4/12,10.1,19.7,1,466,5,0,FALSE,FALSE,TRUE
2025/4/13,10.2,17.6,3,392,6,0,FALSE,FALSE,TRUE
2025/4/14,7.9,12.2,5.7,435,0,0,TRUE,FALSE,FALSE
2025/4/15,7.6,10.2,5.1,439,1,0,TRUE,FALSE,FALSE
2025/4/16,5.3,6.8,4,515,2,0,TRUE,FALSE,FALSE
2025/4/17,6.9,12.3,2.8,517,3,0,TRUE,FALSE,FALSE
2025/4/18,10.1,19.9,0.1,519,4,0,FALSE,FALSE,TRUE
2025/4/19,8.5,10.2,6.9,446,5,0,TRUE,FALSE,FALSE
2025/4/20,8.9,18.3,5.7,383,6,0,TRUE,FALSE,FALSE
2025/4/21,5.3,7.7,1.7,477,0,0,TRUE,FALSE,FALSE
2025/4/22,7.4,15.3,1,500,1,0,FALSE,FALSE,TRUE
2025/4/23,10.7,17.9,4.7,439,2,0,TRUE,FALSE,FALSE
2025/4/24,12.9,20.6,3.5,520,3,0,FALSE,FALSE,TRUE
2025/4/25,9.3,17,6,460,4,0,TRUE,FALSE,FALSE
2025/4/26,7.7,13.1,4.6,403,5,0,TRUE,FALSE,FALSE
2025/4/27,5.8,8.8,2.5,355,6,0,TRUE,FALSE,FALSE
2025/4/28,7.4,14.6,-0.1,471,0,0,FALSE,FALSE,TRUE
2025/4/29,4.6,7.5,2.5,392,1,1,TRUE,FALSE,FALSE
2025/4/30,5.3,11.7,1.7,514,2,0,FALSE,FALSE,TRUE
2025/5/1,9.9,20.1,-0.6,461,3,0,FALSE,FALSE,TRUE
2025/5/2,12.5,20.6,3.1,415,4,0,FALSE,FALSE,TRUE
2025/5/3,13.2,16.3,10.7,335,5,1,TRUE,FALSE,FALSE
2025/5/4,10.6,13.3,7.9,322,6,1,TRUE,FALSE,FALSE
2025/5/5,10.8,16.9,6.6,355,0,1,TRUE,FALSE,FALSE
2025/5/6,12.3,18.1,6,347,1,1,FALSE,FALSE,TRUE
2025/5/7,11.6,18.7,3,383,2,0,FALSE,FALSE,TRUE
2025/5/8,12,19.8,6.8,521,3,0,TRUE,FALSE,FALSE
2025/5/9,13.8,17.9,8.7,445,4,0,FALSE,FALSE,TRUE
2025/5/10,11.3,13.6,7.4,365,5,0,TRUE,FALSE,FALSE
2025/5/11,11.4,15.8,6.9,348,6,0,TRUE,FALSE,FALSE
2025/5/12,13.8,22,4.3,500,0,0,FALSE,FALSE,TRUE
2025/5/13,14.9,20.9,7.8,545,1,0,FALSE,FALSE,TRUE
2025/5/14,17.6,24.1,11.8,425,2,0,TRUE,FALSE,FALSE
2025/5/15,20.4,28.4,11.4,503,3,0,FALSE,FALSE,TRUE
2025/5/16,21,26.4,14.9,481,4,0,FALSE,FALSE,TRUE
2025/5/17,20.4,29.4,14.1,385,5,0,FALSE,FALSE,TRUE
2025/5/18,17.1,24.2,11.1,367,6,0,TRUE,FALSE,FALSE
2025/5/19,14.8,21,7.1,463,0,0,TRUE,FALSE,FALSE
2025/5/20,13,17.8,8.7,400,1,0,TRUE,FALSE,FALSE
2025/5/21,14.3,22.3,4.8,457,2,0,FALSE,FALSE,TRUE
2025/5/22,12.7,19.1,9,371,3,0,TRUE,FALSE,FALSE
2025/5/23,11.3,17,7.6,443,4,0,FALSE,FALSE,TRUE
2025/5/24,13.4,19.7,6.2,338,5,0,TRUE,FALSE,FALSE
2025/5/25,10.6,12.9,8.5,363,6,0,TRUE,FALSE,FALSE
2025/5/26,9.5,13.7,6.3,438,0,0,TRUE,FALSE,FALSE
2025/5/27,14.6,22,5.8,458,1,0,FALSE,FALSE,TRUE
2025/5/28,17.2,25.1,8.2,464,2,0,FALSE,FALSE,TRUE
2025/5/29,18,25.7,10.4,505,3,0,FALSE,FALSE,TRUE
2025/5/30,19.4,29.3,11,442,4,0,FALSE,FALSE,TRUE
2025/5/31,16.4,23.3,11.3,378,5,0,FALSE,FALSE,TRUE
2025/6/1,14.6,23.7,8.1,369,6,0,FALSE,FALSE,TRUE
2025/6/2,12,18.6,6.3,479,0,0,TRUE,FALSE,FALSE
2025/6/3,14.4,18.2,10.4,401,1,0,TRUE,FALSE,FALSE
2025/6/4,12.9,17.6,10,415,2,0,TRUE,FALSE,FALSE
2025/6/5,12.3,14.8,9.3,464,3,0,TRUE,FALSE,FALSE
2025/6/6,17.9,24.6,12.2,485,4,0,TRUE,FALSE,FALSE
2025/6/7,17.8,21.4,15.1,437,5,0,TRUE,FALSE,FALSE
2025/6/8,17.2,23.6,11.7,460,6,0,TRUE,FALSE,FALSE
2025/6/9,19.7,27.9,9.2,479,0,0,FALSE,FALSE,TRUE
2025/6/10,21.2,29.3,12,456,1,0,FALSE,FALSE,TRUE
2025/6/11,18,20.9,13.8,399,2,0,TRUE,FALSE,FALSE
2025/6/12,15.7,21.2,11.5,468,3,0,TRUE,FALSE,FALSE
2025/6/13,18.1,24.9,11.1,478,4,0,FALSE,FALSE,TRUE
2025/6/14,22,28.8,15.8,418,5,0,FALSE,FALSE,TRUE
2025/6/15,20.2,26,14.1,354,6,0,FALSE,FALSE,TRUE
2025/6/16,20.9,25.9,16.2,423,0,0,FALSE,FALSE,FALSE
2025/6/17,21.5,25.6,18.2,427,1,0,TRUE,FALSE,FALSE
2025/6/18,23.2,28.7,17.6,462,2,0,FALSE,FALSE,TRUE
2025/6/19,23,30.5,14.6,464,3,0,FALSE,FALSE,TRUE
2025/6/20,24.3,31.8,16.6,468,4,0,FALSE,FALSE,TRUE
2025/6/21,23.2,28,18.4,400,5,0,TRUE,FALSE,FALSE
2025/6/22,21.4,24.5,19,383,6,0,TRUE,FALSE,FALSE
2025/6/23,22.6,27.8,18.1,494,0,0,FALSE,FALSE,TRUE
2025/6/24,23.9,30.3,16.3,496,1,0,FALSE,FALSE,TRUE
2025/6/25,25.2,33.1,16.2,487,2,0,FALSE,FALSE,FALSE
2025/6/26,24.6,31,18.6,445,3,0,FALSE,FALSE,TRUE
2025/6/27,21.9,26.3,18.5,451,4,0,TRUE,FALSE,FALSE
2025/6/28,22.2,28.4,17.2,508,5,0,FALSE,FALSE,TRUE
2025/6/29,23.2,30.4,14.4,426,6,0,FALSE,FALSE,TRUE
2025/6/30,22.2,25.6,18.7,465,0,0,TRUE,FALSE,FALSE
2025/7/1,25.4,32,21.1,482,1,0,TRUE,FALSE,FALSE
